iter	Passed	Remaining
0	22	22339
1	32	16348
2	43	14475
3	54	13628
4	65	13129
5	77	12772
6	87	12481
7	98	12258
8	110	12123
9	121	12030
10	132	11935
11	144	11907
12	155	11831
13	167	11800
14	178	11736
15	189	11678
16	200	11618
17	212	11599
18	225	11637
19	236	11603
20	247	11549
21	258	11508
22	269	11458
23	280	11423
24	291	11377
25	302	11338
26	313	11312
27	324	11278
28	336	11252
29	347	11229
30	358	11193
31	368	11159
32	372	10903
33	383	10907
34	387	10671
35	398	10666
36	401	10451
37	404	10244
38	416	10252
39	427	10259
40	433	10132
41	449	10249
42	452	10080
43	462	10052
44	472	10031
45	485	10066
46	495	10039
47	498	9878
48	508	9862
49	518	9848
50	527	9823
51	538	9818
52	555	9927
53	559	9794
54	562	9664
55	565	9541
56	569	9421
57	582	9467
58	597	9523
59	611	9583
60	625	9631
61	639	9675
62	653	9725
63	667	9767
64	681	9804
65	695	9843
66	710	9891
67	725	9943
68	739	9974
69	752	10004
70	766	10029
71	780	10061
72	794	10086
73	809	10123
74	822	10145
75	837	10181
76	850	10194
77	862	10191
78	874	10199
79	887	10207
80	899	10205
81	912	10212
82	924	10219
83	938	10228
84	950	10232
85	963	10242
86	975	10234
87	996	10323
88	1008	10324
89	1020	10317
90	1032	10311
91	1043	10301
92	1055	10295
93	1068	10294
94	1079	10285
95	1090	10272
96	1102	10265
97	1114	10256
98	1126	10247
99	1137	10237
100	1149	10233
101	1160	10221
102	1172	10214
103	1184	10201
104	1195	10190
105	1207	10181
106	1240	10355
107	1276	10538
108	1308	10694
109	1358	10991
110	1397	11190
111	1430	11344
112	1463	11486
113	1495	11626
114	1529	11770
115	1564	11921
116	1575	11893
117	1586	11859
118	1596	11821
119	1606	11781
120	1617	11747
121	1627	11713
122	1637	11678
123	1648	11643
124	1658	11608
125	1669	11581
126	1679	11546
127	1689	11513
128	1701	11489
129	1712	11460
130	1722	11427
131	1733	11398
132	1743	11368
133	1754	11339
134	1765	11311
135	1775	11280
136	1786	11253
137	1797	11225
138	1807	11194
139	1818	11168
140	1828	11141
141	1839	11116
142	1850	11089
143	1860	11057
144	1870	11029
145	1880	11002
146	1916	11120
147	1951	11232
148	1991	11371
149	2026	11483
150	2061	11591
151	2095	11691
152	2128	11785
153	2162	11880
154	2197	11978
155	2315	12525
156	2366	12705
157	2434	12975
158	2487	13156
159	2521	13235
160	2531	13193
161	2542	13152
162	2552	13108
163	2645	13484
164	2677	13549
165	2715	13645
166	2765	13796
167	2810	13917
168	2852	14027
169	2878	14053
170	2890	14011
171	2902	13971
172	2913	13928
173	2924	13882
174	2938	13852
175	2950	13811
176	2964	13781
177	2975	13740
178	2987	13701
179	2999	13662
180	3011	13624
181	3022	13584
182	3033	13544
183	3109	13788
184	3239	14271
185	3323	14542
186	3334	14495
187	3345	14451
188	3357	14406
189	3369	14363
190	3427	14517
191	3533	14868
192	3577	14958
193	3622	15048
194	3649	15063
195	3662	15021
196	3674	14976
197	3686	14930
198	3697	14884
199	3710	14840
200	3722	14796
201	3733	14750
202	3745	14706
203	3759	14670
204	3771	14625
205	3783	14583
206	3794	14538
207	3806	14495
208	3818	14453
209	3830	14408
210	3841	14364
211	3853	14323
212	3916	14470
213	3948	14501
214	3980	14531
215	4015	14573
216	4046	14600
217	4076	14622
218	4120	14695
219	4151	14720
220	4191	14774
221	4213	14767
222	4238	14766
223	4258	14751
224	4276	14731
225	4297	14718
226	4308	14673
227	4321	14632
228	4333	14591
229	4345	14548
230	4357	14507
231	4370	14468
232	4383	14428
233	4395	14389
234	4407	14347
235	4419	14306
